INFO: setting server port as: 8080
INFO: Waiting for incoming connection...
[#WORKER#] 15922.948839 Worker Thread Alive!R0:15922.948610,0.041792,15922.949204,15922.991073
R1:15923.132200,0.133472,15923.132291,15923.265767
R2:15923.285109,0.018341,15923.285153,15923.303495
R3:15923.527787,0.121834,15923.527834,15923.649669
R4:15923.568641,0.067281,15923.650015,15923.717297
R5:15923.601195,0.082600,15923.717750,15923.800352
R6:15923.666105,0.060026,15923.800699,15923.860727
R7:15923.711505,0.206605,15923.860936,15924.067546
R8:15924.015670,0.105280,15924.068041,15924.173326
R9:15924.116678,0.077822,15924.173639,15924.251462
R10:15924.132231,0.023187,15924.251670,15924.274858
R11:15924.133965,0.135879,15924.275114,15924.410994
R12:15924.148740,0.042700,15924.411205,15924.453906
R13:15924.165796,0.009600,15924.454083,15924.463683
R14:15924.179711,0.020519,15924.463853,15924.484373
R15:15924.863320,0.152254,15924.863406,15925.015664
R16:15924.935321,0.029252,15925.016024,15925.045276
R17:15925.030174,0.061912,15925.045465,15925.107378
R18:15925.131676,0.300302,15925.131715,15925.432018
R19:15925.199737,0.122966,15925.432203,15925.555170
R20:15925.234353,0.122442,15925.555345,15925.677788
R21:15925.309178,0.185106,15925.677980,15925.863087
R22:15925.360310,0.036214,15925.863291,15925.899506
R23:15925.393632,0.209469,15925.899671,15926.109144
R24:15925.558527,0.248530,15926.109551,15926.358082
R25:15925.565767,0.007499,15926.358274,15926.365774
R26:15925.640429,0.090695,15926.365944,15926.456640
R27:15925.661784,0.035757,15926.456833,15926.492591
R28:15925.882733,0.001686,15926.492766,15926.494452
R29:15925.889380,0.005431,15926.494643,15926.500075
R30:15925.950590,0.293994,15926.500243,15926.794238
R31:15925.977843,0.158606,15926.794550,15926.953157
R32:15926.210355,0.064667,15926.953355,15927.018023
R33:15926.241387,0.119013,15927.018192,15927.137206
R34:15926.288430,0.091816,15927.137684,15927.229501
R35:15926.360300,0.003339,15927.229747,15927.233087
R36:15926.436157,0.223819,15927.233332,15927.457152
R37:15926.493728,0.106364,15927.457398,15927.563763
R38:15926.760836,0.111788,15927.563975,15927.675763
R39:15926.794303,0.036419,15927.675946,15927.712367
R40:15926.896481,0.015124,15927.712579,15927.727704
R41:15927.012925,0.176741,15927.727886,15927.904627
R42:15927.070938,0.033415,15927.904843,15927.938259
R43:15927.247684,0.186534,15927.938432,15928.124971
R44:15927.273708,0.096708,15928.125304,15928.222018
R45:15927.316855,0.074024,15928.222212,15928.296237
R46:15927.630294,0.163059,15928.296414,15928.459478
R47:15927.737402,0.214719,15928.459850,15928.674572
R48:15927.795321,0.140512,15928.675090,15928.815604
R49:15927.846159,0.201567,15928.815813,15929.017380
R50:15927.961452,0.020260,15929.017579,15929.037840
R51:15928.027351,0.210611,15929.038025,15929.248637
R52:15928.327471,0.177430,15929.248814,15929.426244
R53:15928.343511,0.047129,15929.426437,15929.473567
R54:15928.446028,0.027498,15929.473735,15929.501234
R55:15928.542725,0.030616,15929.501424,15929.532041
R56:15928.696932,0.021360,15929.532205,15929.553566
R57:15928.756198,0.026941,15929.553727,15929.580669
R58:15928.776984,0.044893,15929.580858,15929.625752
R59:15928.858290,0.197754,15929.625924,15929.823678
R60:15928.876889,0.011230,15929.823859,15929.835090
R61:15928.887785,0.119092,15929.835258,15929.954351
R62:15928.956200,0.227786,15929.954532,15930.182319
R63:15929.374541,0.040266,15930.182516,15930.222783
R64:15929.489899,0.038326,15930.222952,15930.261279
R65:15929.628448,0.022026,15930.261441,15930.283467
R66:15929.663297,0.023355,15930.283635,15930.306990
R67:15929.751130,0.109777,15930.307172,15930.416949
R68:15929.767675,0.131443,15930.417139,15930.548582
R69:15929.781093,0.113898,15930.548789,15930.662687
R70:15929.799028,0.249818,15930.662874,15930.912693
R71:15929.806787,0.061436,15930.912884,15930.974321
R72:15929.812194,0.022877,15930.974498,15930.997375
R73:15929.831589,0.109934,15930.997546,15931.107481
R74:15929.991452,0.285300,15931.107687,15931.392992
R75:15930.098342,0.118834,15931.393311,15931.512147
R76:15930.200375,0.012076,15931.512425,15931.524502
R77:15930.210201,0.006788,15931.524838,15931.531627
R78:15930.283649,0.019082,15931.531839,15931.550922
R79:15930.290911,0.142751,15931.551141,15931.693893
R80:15930.352805,0.117406,15931.694145,15931.811552
R81:15930.437993,0.014312,15931.811820,15931.826138
R82:15930.443348,0.019047,15931.826428,15931.845478
R83:15931.638835,0.011172,15931.845749,15931.856922
R84:15931.859553,0.004631,15931.859592,15931.864224
R85:15932.471474,0.006256,15932.471522,15932.477780
R86:15932.675950,0.213737,15932.675997,15932.889737
R87:15932.676392,0.016575,15932.890025,15932.906601
R88:15932.766521,0.041423,15932.906780,15932.948203
R89:15932.784352,0.142759,15932.948420,15933.091180
R90:15933.028594,0.067004,15933.091398,15933.158403
R91:15933.073101,0.050211,15933.158595,15933.208807
R92:15933.159728,0.008747,15933.208997,15933.217744
R93:15933.276018,0.117992,15933.276055,15933.394048
R94:15933.351712,0.404774,15933.394234,15933.799010
R95:15933.388014,0.175048,15933.799467,15933.974516
R96:15933.474063,0.082609,15933.974801,15934.057412
R97:15933.611837,0.114795,15934.057740,15934.172541
R98:15933.615458,0.216275,15934.173129,15934.389406
R99:15933.794604,0.148173,15934.389698,15934.537872
receive failure
