INFO: setting server port as: 8080
INFO: Waiting for incoming connection...
[#WORKER#] 94884.333250 Worker Thread Alive!R0:94884.333230,0.041792,94884.333480,94884.375454
R1:94884.516785,0.133472,94884.516856,94884.650334
R2:94884.669670,0.018341,94884.669729,94884.688070
R3:94884.912345,0.121834,94884.912396,94885.034231
R4:94884.953195,0.067281,94885.034491,94885.101772
R5:94884.985749,0.082600,94885.101927,94885.184528
R6:94885.050660,0.060026,94885.184670,94885.244697
[#WORKER#] 94885.335316 Still Alive!
R7:94885.096053,0.206605,94885.244854,94885.451460
R8:94885.400201,0.105280,94885.451609,94885.556890
R9:94885.501198,0.077822,94885.557254,94885.635077
R10:94885.516925,0.023187,94885.635306,94885.658493
R11:94885.518601,0.135879,94885.658899,94885.794781
R12:94885.533375,0.042700,94885.795129,94885.837831
R13:94885.550432,0.009600,94885.838098,94885.847699
R14:94885.564346,0.020519,94885.847970,94885.868493
R15:94886.247973,0.152254,94886.248022,94886.400278
R16:94886.319940,0.029252,94886.400524,94886.429777
R17:94886.414796,0.061912,94886.429986,94886.491900
R18:94886.516316,0.300302,94886.516407,94886.816715
R19:94886.584413,0.122966,94886.817270,94886.940240
R20:94886.619078,0.122442,94886.940637,94887.063080
R21:94886.693946,0.185106,94887.063290,94887.248397
R22:94886.745129,0.036214,94887.248624,94887.284840
[#WORKER#] 94887.337180 Still Alive!
R23:94886.778495,0.209469,94887.285065,94887.494537
R24:94886.943418,0.248530,94887.494959,94887.743491
R25:94886.950665,0.007499,94887.743751,94887.751251
R26:94887.025337,0.090695,94887.751391,94887.842087
R27:94887.046717,0.035757,94887.842257,94887.878014
R28:94887.267681,0.001686,94887.878178,94887.879864
R29:94887.274344,0.005431,94887.880013,94887.885445
R30:94887.335552,0.293994,94887.885586,94888.179581
R31:94887.362790,0.158606,94888.179935,94888.338543
R32:94887.595298,0.064667,94888.338831,94888.403499
R33:94887.626357,0.119013,94888.403695,94888.522709
R34:94887.673404,0.091816,94888.523018,94888.614835
R35:94887.745274,0.003339,94888.615150,94888.618491
R36:94887.821136,0.223819,94888.618696,94888.842516
R37:94887.878717,0.106364,94888.842770,94888.949137
R38:94888.145839,0.111788,94888.949524,94889.061312
R39:94888.179353,0.036419,94889.061558,94889.097978
R40:94888.281551,0.015124,94889.098282,94889.113407
R41:94888.398043,0.176741,94889.113548,94889.290290
R42:94888.456068,0.033415,94889.290575,94889.323991
[#WORKER#] 94889.338065 Still Alive!
R43:94888.632821,0.186534,94889.324203,94889.510739
R44:94888.658848,0.096708,94889.510948,94889.607659
R45:94888.702027,0.074024,94889.607950,94889.681975
R46:94889.015497,0.163059,94889.682143,94889.845202
R47:94889.122609,0.214719,94889.845371,94890.060090
R48:94889.180526,0.140512,94890.060320,94890.200832
R49:94889.231369,0.201567,94890.200979,94890.402547
R50:94889.346669,0.020260,94890.402730,94890.422991
R51:94889.412568,0.210611,94890.423257,94890.633868
R52:94889.712671,0.177430,94890.634071,94890.811502
R53:94889.728669,0.047129,94890.811693,94890.858823
R54:94889.831147,0.027498,94890.859062,94890.886561
R55:94889.927822,0.030616,94890.886733,94890.917349
R56:94890.082019,0.021360,94890.917484,94890.938845
R57:94890.141281,0.026941,94890.939029,94890.965971
R58:94890.162062,0.044893,94890.966165,94891.011059
R59:94890.243378,0.197754,94891.011192,94891.208948
R60:94890.261984,0.011230,94891.209179,94891.220413
[#WORKER#] 94891.339712 Still Alive!
R61:94890.272888,0.119092,94891.220615,94891.339708
R62:94890.341309,0.227786,94891.339997,94891.567786
R63:94890.759656,0.040266,94891.568187,94891.608453
R64:94890.875019,0.038326,94891.608595,94891.646922
R65:94891.013573,0.022026,94891.647063,94891.669089
R66:94891.048425,0.023355,94891.669237,94891.692593
R67:94891.136262,0.109777,94891.692789,94891.802567
R68:94891.152827,0.131443,94891.802882,94891.934329
R69:94891.166270,0.113898,94891.934516,94892.048415
R70:94891.184213,0.249818,94892.048601,94892.298424
R71:94891.191981,0.061436,94892.298837,94892.360274
R72:94891.197399,0.022877,94892.360553,94892.383430
R73:94891.216822,0.109934,94892.383695,94892.493634
R74:94891.376723,0.285300,94892.493914,94892.779216
R75:94891.483633,0.118834,94892.779670,94892.898505
R76:94891.585665,0.012076,94892.898661,94892.910738
R77:94891.595493,0.006788,94892.910948,94892.917738
R78:94891.668941,0.019082,94892.917902,94892.936987
R79:94891.676199,0.142751,94892.937225,94893.079976
R80:94891.738110,0.117406,94893.080244,94893.197655
R81:94891.823301,0.014312,94893.198110,94893.212423
R82:94891.828646,0.019047,94893.212601,94893.231649
R83:94893.024141,0.011172,94893.232024,94893.243197
R84:94893.244862,0.004631,94893.244916,94893.249549
[#WORKER#] 94893.339963 Still Alive!
R85:94893.856804,0.006256,94893.856877,94893.863136
R86:94894.061314,0.213737,94894.061397,94894.275138
R87:94894.061787,0.016575,94894.275650,94894.292228
R88:94894.151927,0.041423,94894.292505,94894.333930
R89:94894.169787,0.142759,94894.334367,94894.477126
R90:94894.414034,0.067004,94894.477312,94894.544317
R91:94894.458545,0.050211,94894.544553,94894.594765
R92:94894.545176,0.008747,94894.594944,94894.603692
R93:94894.661487,0.117992,94894.661562,94894.779558
R94:94894.737222,0.404774,94894.779885,94895.184664
[#WORKER#] 94895.340891 Still Alive!
R95:94894.773539,0.175048,94895.185059,94895.360109
R96:94894.859609,0.082609,94895.360518,94895.443131
R97:94894.997414,0.114795,94895.443493,94895.558290
R98:94895.001081,0.216275,94895.558702,94895.774979
R99:94895.180270,0.148173,94895.775574,94895.923756
receive failure
