INFO: setting server port as: 8080
INFO: Waiting for incoming connection...
[#WORKER#] 96930.884665 Worker Thread Alive!R0:96930.884411,0.041792,96930.885232,96930.927075
R1:96931.068018,0.133472,96931.068124,96931.201598
R2:96931.220886,0.018341,96931.220944,96931.239286
R3:96931.463578,0.121834,96931.463653,96931.585489
R4:96931.504456,0.067281,96931.585949,96931.653231
R5:96931.537029,0.082600,96931.653659,96931.736262
R6:96931.601958,0.060026,96931.736671,96931.796699
[#WORKER#] 96931.886919 Still Alive!
R7:96931.647388,0.206605,96931.797146,96932.003753
R8:96931.951560,0.105280,96932.004175,96932.109456
R9:96932.052597,0.077822,96932.109846,96932.188354
R10:96932.068068,0.023187,96932.189307,96932.212496
R11:96932.069764,0.135879,96932.212996,96932.348880
R12:96932.084545,0.042700,96932.349259,96932.391960
R13:96932.101606,0.009600,96932.392279,96932.401880
R14:96932.115526,0.020519,96932.402130,96932.422652
R15:96932.799110,0.152254,96932.799207,96932.951464
R16:96932.871117,0.029252,96932.951985,96932.981237
R17:96932.965979,0.061912,96932.981477,96933.043390
R18:96933.067499,0.300302,96933.067609,96933.367914
R19:96933.135684,0.122966,96933.368311,96933.491278
R20:96933.170393,0.122442,96933.491848,96933.614292
R21:96933.245270,0.185106,96933.614560,96933.799668
R22:96933.296454,0.036214,96933.800089,96933.836304
[#WORKER#] 96933.888091 Still Alive!
R23:96933.329833,0.209469,96933.836566,96934.046037
R24:96933.494775,0.248530,96934.046404,96934.294936
R25:96933.502038,0.007499,96934.295321,96934.302820
R26:96933.576713,0.090695,96934.303017,96934.393714
R27:96933.598082,0.035757,96934.393970,96934.429729
R28:96933.819050,0.001686,96934.430268,96934.431954
R29:96933.825704,0.005431,96934.432237,96934.437669
R30:96933.886910,0.293994,96934.438080,96934.732081
R31:96933.914154,0.158606,96934.732735,96934.891343
R32:96934.146676,0.064667,96934.891567,96934.956236
R33:96934.177730,0.119013,96934.956448,96935.075463
R34:96934.224795,0.091816,96935.075815,96935.167631
R35:96934.296723,0.003339,96935.167894,96935.171234
R36:96934.372613,0.223819,96935.171429,96935.395250
R37:96934.430218,0.106364,96935.395818,96935.502185
R38:96934.697373,0.111788,96935.502648,96935.614437
R39:96934.730898,0.036419,96935.614700,96935.651121
R40:96934.833089,0.015124,96935.651413,96935.666538
R41:96934.949546,0.176741,96935.666769,96935.843513
R42:96935.007575,0.033415,96935.843890,96935.877307
[#WORKER#] 96935.888481 Still Alive!
R43:96935.184324,0.186534,96935.877679,96936.064215
R44:96935.210398,0.096708,96936.064652,96936.161361
R45:96935.253671,0.074024,96936.161612,96936.235641
R46:96935.567124,0.163059,96936.236252,96936.399311
R47:96935.674245,0.214719,96936.399518,96936.614239
R48:96935.732186,0.140512,96936.614572,96936.755086
R49:96935.783060,0.201567,96936.755374,96936.956943
R50:96935.898355,0.020260,96936.957418,96936.977680
R51:96935.964267,0.210611,96936.978050,96937.188663
R52:96936.264377,0.177430,96937.189065,96937.366498
R53:96936.280381,0.047129,96937.367028,96937.414159
R54:96936.382864,0.027498,96937.414585,96937.442084
R55:96936.479547,0.030616,96937.442419,96937.473036
R56:96936.633767,0.021360,96937.473274,96937.494635
R57:96936.693051,0.026941,96937.494884,96937.521827
R58:96936.713854,0.044893,96937.522271,96937.567165
R59:96936.795176,0.197754,96937.567442,96937.765198
R60:96936.813780,0.011230,96937.765577,96937.776809
[#WORKER#] 96937.888745 Still Alive!
R61:96936.824681,0.119092,96937.777030,96937.896126
R62:96936.893115,0.227786,96937.896613,96938.124401
R63:96937.311501,0.040266,96938.124782,96938.165049
R64:96937.426905,0.038326,96938.165240,96938.203568
R65:96937.565481,0.022026,96938.204056,96938.226082
R66:96937.600358,0.023355,96938.226375,96938.249731
R67:96937.688219,0.109777,96938.250010,96938.359788
R68:96937.704809,0.131443,96938.360111,96938.491557
R69:96937.718252,0.113898,96938.492093,96938.605993
R70:96937.736215,0.249818,96938.606300,96938.856120
R71:96937.744030,0.061436,96938.856570,96938.918014
R72:96937.749465,0.022877,96938.918253,96938.941130
R73:96937.768867,0.109934,96938.941437,96939.051373
R74:96937.928758,0.285300,96939.051766,96939.337069
R75:96938.035657,0.118834,96939.337721,96939.456558
R76:96938.137687,0.012076,96939.457026,96939.469103
R77:96938.147518,0.006788,96939.469376,96939.476166
R78:96938.220995,0.019082,96939.476444,96939.495527
R79:96938.228311,0.142751,96939.495939,96939.638693
R80:96938.290216,0.117406,96939.639197,96939.756605
R81:96938.375413,0.014312,96939.756977,96939.771295
R82:96938.380762,0.019047,96939.771618,96939.790666
R83:96939.576286,0.011172,96939.790979,96939.802152
R84:96939.797035,0.004631,96939.802414,96939.807046
[#WORKER#] 96939.890063 Still Alive!
R85:96940.408999,0.006256,96940.409196,96940.415458
R86:96940.613626,0.213737,96940.613776,96940.827520
R87:96940.614142,0.016575,96940.827900,96940.844480
R88:96940.704268,0.041423,96940.844750,96940.886174
R89:96940.722130,0.142759,96940.886509,96941.029271
R90:96940.966459,0.067004,96941.029640,96941.096646
R91:96941.010969,0.050211,96941.096943,96941.147155
R92:96941.097602,0.008747,96941.147413,96941.156161
R93:96941.213935,0.117992,96941.214019,96941.332014
R94:96941.289652,0.404774,96941.332615,96941.737393
[#WORKER#] 96941.890977 Still Alive!
R95:96941.326019,0.175048,96941.737940,96941.912989
R96:96941.412182,0.082609,96941.913658,96941.996268
R97:96941.549997,0.114795,96941.996626,96942.111424
R98:96941.553681,0.216275,96942.111794,96942.328072
R99:96941.732906,0.148173,96942.328638,96942.476814
receive failure
